perturbation,severity,aggregator,small_n,small_mean_delta,large_n,large_mean_delta,U_stat,p_value
label_noise,0.1,fedavg,50,-0.009385562798917025,51,-0.01146633640455536,1297.0,0.8838932404757861
label_noise,0.1,fedprox,50,-0.011600874940493682,51,-0.01212979060112474,1279.0,0.9810334803139485
label_noise,0.2,fedavg,50,-0.021020897401892513,51,-0.023705791867276515,1372.0,0.5121701100753875
label_noise,0.2,fedprox,50,-0.0205545652662243,51,-0.026196403835936233,1404.0,0.38276241776700526
label_noise,0.3,fedavg,50,-0.09267575053771077,51,-0.09232415330326693,1305.0,0.8411876970611423
label_noise,0.3,fedprox,50,-0.09457337004446524,51,-0.0931037449700608,1298.0,0.8785339064977147
input_noise,0.01,fedavg,50,0.0007970467147676067,51,0.0005156213529211263,1194.0,0.5808957457710535
input_noise,0.01,fedprox,50,-4.3194967782494985e-06,51,-0.0007627452245259389,1480.0,0.16030180159422702
input_noise,0.05,fedavg,50,0.001231450786718838,51,0.0004328878560833801,1243.0,0.8305618520884899
input_noise,0.05,fedprox,50,0.0007934163039741482,51,-0.0005078821133477493,1371.0,0.5165468089550451
input_noise,0.1,fedavg,50,0.0013973471070925,51,0.00019369417170640206,1396.0,0.4130783373439313
input_noise,0.1,fedprox,50,-0.0006175492414112039,51,-0.0008803360822258001,1271.0,0.9810332594254437
byzantine,0.05,fedavg,50,-0.004274777411430319,51,-0.004561662959265719,1273.0,0.9918708665374829
byzantine,0.05,fedprox,50,-0.005288471847146885,51,-0.005967908265310731,1347.0,0.6272128848165813
byzantine,0.1,fedavg,50,3.248364039527163e-05,51,-0.004176156546140073,1522.0,0.0940685547103812
byzantine,0.1,fedprox,50,-0.0016524787142543629,51,-0.006827424682968852,1535.0,0.07796520747251161
byzantine,0.2,fedavg,50,-0.0071924824031956444,51,-0.011643438298894648,1410.0,0.3609418391208217
byzantine,0.2,fedprox,50,-0.009274486577888765,51,-0.011654803114628954,1336.0,0.6811183315207343
