hospitalid,auroc,auprc,n
63,0.7275943396226415,0.2887295577247857,114
66,0.850187265917603,0.1287037037037037,92
73,0.8664955070603337,0.37121365114200555,830
79,0.8087248322147652,0.45539462259893904,165
92,0.6070175438596491,0.29433248081841434,62
110,0.7493956486704271,0.32563929756218146,236
122,0.8113728823850871,0.3110134065706316,426
140,0.7959770114942528,0.30237687715223016,64
141,0.8925831202046035,0.4778827091869522,201
142,0.8117647058823529,0.44824198831825623,222
143,0.5512820512820513,0.12368170057349828,85
144,0.9216524216524217,0.5583527583527583,87
146,0.7597402597402597,0.2138114210560031,95
148,0.804040404040404,0.4679190008338242,183
152,0.8856304985337244,0.6154273244132038,104
154,0.8249336870026525,0.5591166873200808,100
157,0.7683444511825349,0.4314010948236998,114
165,0.820022083179978,0.5420515949787758,162
167,0.8275664855590505,0.3985596213442739,308
171,0.8461538461538461,0.3369523974893245,112
176,0.8899532710280373,0.6170278651207324,234
180,0.978448275862069,0.8125,62
181,0.8827493261455526,0.5695398212482455,120
183,0.8075757575757576,0.33572298333323125,244
184,0.8912912912912914,0.614703326397186,126
188,0.7892280260121669,0.4078417013023285,496
195,0.7826388888888889,0.36961353766094623,169
197,0.8492300620547001,0.43920506344611615,248
198,0.6172161172161172,0.08925036316340663,97
199,0.8496261233449957,0.5489919308682365,382
202,0.8824242424242423,0.5042465973686069,86
206,0.8643962848297213,0.7097547440028642,104
207,0.9477611940298507,0.5583333333333333,71
208,0.7523846104602778,0.2639807603138456,422
210,0.9012605042016807,0.5583333333333333,75
215,0.8688845401174168,0.5243030545551555,80
217,0.8316436251920123,0.47010317398942986,176
220,0.7913322632423756,0.17806812235383662,96
224,0.8095238095238095,0.3943131868131868,76
226,0.8186274509803921,0.3931769573998049,149
227,0.8312236286919832,0.2929772240295601,173
243,0.7918704671951426,0.41570740595203326,533
244,0.732,0.19395035551786122,160
245,0.8937499999999999,0.24801587301587302,84
248,0.9386299974535268,0.6526909187393964,248
252,0.7964468132356207,0.45284098193067696,452
256,0.8,0.4636946386946387,105
259,0.7246376811594203,0.40989711605864054,84
264,0.7797360248447205,0.29283207105572717,746
268,0.8691019786910198,0.619346978557505,82
269,0.9053030303030303,0.418417965476789,94
271,0.8185328185328185,0.28228715728715725,118
272,0.8067226890756303,0.1453484492542243,160
275,0.8,0.24481074481074483,72
277,0.88507326007326,0.38328832137815805,194
279,0.8747252747252747,0.6355345911949686,96
280,0.9198841698841699,0.47360020931449504,155
281,0.7893151553582752,0.2799827481162734,351
282,0.8377358490566037,0.3341217765900162,111
283,0.7414552317047598,0.20016591469820214,270
300,0.8456723505288151,0.4615754008534746,493
301,0.850765306122449,0.4641724941724941,119
307,0.7630622009569377,0.42051352547691984,234
310,0.7954887218045114,0.14425770308123248,138
312,0.9203703703703703,0.6985851158645277,64
318,0.7517934002869441,0.3134449432987839,140
331,0.8719576719576719,0.31439600621258584,219
336,0.7354028085735402,0.3057819897582604,134
337,0.7245901639344263,0.20657071339173966,66
338,0.7785513393886302,0.31570371049582735,570
345,0.7131681877444589,0.14060806283816113,249
353,0.6487179487179486,0.2680465015210778,83
357,0.8628571428571429,0.5535205535205535,75
365,0.7647476901208244,0.1710495998997687,208
382,0.8397306397306397,0.4535660018993352,174
384,0.7423230974632844,0.29753685677282693,121
386,0.8365384615384616,0.6307761437908497,62
387,0.8367346938775511,0.4029969354512965,84
388,0.8540811673506612,0.5667484885117405,146
390,0.8390410958904109,0.45701702307597747,168
391,0.8580121703853956,0.48518936169452903,133
392,0.7622222222222222,0.41757092322760025,105
394,0.8458049886621315,0.2672598668511792,263
396,0.5505226480836236,0.0922665008007321,89
400,0.7570945945945946,0.39759718849305087,217
403,0.9068241469816273,0.7628365552936016,139
407,0.7478991596638656,0.32114145083792334,92
411,0.7406296851574212,0.2988204412343856,255
413,0.8145833333333334,0.2697517769166684,239
416,0.854537919602155,0.32701367681682697,273
417,0.8337585034013605,0.4997683093198968,245
420,0.8591107474086198,0.511153349681953,642
421,0.910371318822023,0.674335313808998,82
435,0.765625,0.36495313945102487,178
440,0.8928571428571429,0.5380342823599402,152
443,0.7427937915742794,0.31842660110977933,509
444,0.9193899782135075,0.5537732552535184,165
449,0.8165178571428572,0.3677224844652396,312
452,0.7131526768010575,0.40961727285504007,106
458,0.8440113587738749,0.4982826135881372,508
459,0.7983870967741935,0.345021645021645,68
