perturbation,severity,aggregator,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auroc_mean,auroc_std,auprc_mean,auprc_std
label_noise,0.1,fedavg,0.8678503168695302,0.0019035177307330895,0.3277335595277112,0.0050321151242506326,0.4510662177328844,0.00712483512821722,0.37960301426228604,0.004437925193296002,0.7983100340420782,0.0029546456984194227,0.3447084604247699,0.003316389300737589
label_noise,0.1,fedprox,0.8678603762196963,0.0018709444840546829,0.3276455494935891,0.004989155581222739,0.45061728395061723,0.0070871666331734536,0.37938596826134424,0.004433029343053946,0.7979557856031152,0.0030389667598615332,0.34432374719924164,0.003436738537593579
label_noise,0.2,fedavg,0.6308218489085606,0.008421364496336027,0.1665147602417003,0.0030734220578096418,0.7783389450056116,0.006792210121722886,0.2743241696216582,0.004150269614728736,0.776286762654166,0.006083634250822647,0.3203240484519513,0.005312717058286896
label_noise,0.2,fedprox,0.6304395936022533,0.008420207883653443,0.166395051330562,0.003037362176692965,0.7785634118967452,0.00647899097525099,0.2741755579422419,0.004077154293971794,0.7761166204711325,0.006069774028542041,0.32002963338346413,0.005198993926512275
label_noise,0.3,fedavg,0.12530932501760386,0.007713593403550787,0.0919877229059427,0.000713057997793573,0.9873176206509541,0.0019680895529461664,0.16829477152875175,0.0011910902509009705,0.7382566177428055,0.011888418949750387,0.2684793864744332,0.017927855439990686
label_noise,0.3,fedprox,0.12490695101096469,0.00759127778893047,0.09193192616615822,0.000677821752302323,0.9870931537598204,0.0021368611408147794,0.16819813973343858,0.0011285200132874582,0.7380335522195559,0.012215635794713697,0.26811466750364693,0.01816506343748122
input_noise,0.01,fedavg,0.9012171813700836,0.00039763072882110226,0.4284136118555864,0.0030042092136855006,0.30561167227833896,0.004671527584347321,0.3567276729384548,0.003778791232549477,0.8117666071395352,0.0017381680448544526,0.35066689981041155,0.002626711310382872
input_noise,0.01,fedprox,0.901448546423901,0.0003071809975777669,0.42963777674438114,0.002072277885393299,0.30392817059483723,0.005182828233005081,0.3559926152595761,0.0038093627981882743,0.8110518041061321,0.001812446344890148,0.34985508357510103,0.002250085174537935
input_noise,0.05,fedavg,0.9011165878684236,0.0005822269843471506,0.4276390784038462,0.00425936472260654,0.3050505050505051,0.0042292802876356195,0.35607822770369346,0.003794895776160498,0.8117662226934786,0.001780289794357691,0.3507515587437645,0.00253305808831624
input_noise,0.05,fedprox,0.9011568252690877,0.0006184659953300182,0.4278422409563256,0.004526615569185982,0.3047138047138047,0.003867578213268844,0.355921298705966,0.0037138600818141885,0.8109228131530157,0.00182955611418573,0.34968090291556736,0.0026436897462499016
input_noise,0.1,fedavg,0.9012775374710793,0.0006306177655631216,0.42834842206937296,0.0048717557724833865,0.3032547699214366,0.004429312516424493,0.3550997553429708,0.004389404147240632,0.8118595965796702,0.001785860297209642,0.3510087403735102,0.0023387434729100084
input_noise,0.1,fedprox,0.901428427723569,0.0005815748725304274,0.42920722699360336,0.004489787395174799,0.30246913580246915,0.005681385165913742,0.3548452694248076,0.004966926270488171,0.8111451686912095,0.0018651961015907347,0.35019942899975576,0.002001450571019155
byzantine,0.05,fedavg,0.9012373000704155,0.0016710333803956355,0.4276952179883704,0.010507241453731313,0.2997755331088664,0.007047062884826304,0.3523574596584521,0.0035989533088530224,0.8104090568050053,0.00209683224644905,0.3475996246318572,0.002743557561122744
byzantine,0.05,fedprox,0.9011165878684236,0.0017052749731581126,0.4268564732576074,0.010763396858493174,0.29966329966329963,0.007846313947311775,0.3519861907401818,0.004517284244982046,0.8097054833169015,0.0022083888609651125,0.34674298084333777,0.002679627207861414
byzantine,0.1,fedavg,0.900985816316266,0.0009859959311561118,0.4254881652300363,0.005986977567386413,0.2985409652076319,0.00992012880452508,0.3507862162786735,0.006907018393827856,0.8094374407053966,0.0024190003979163246,0.3450934379805522,0.005157399557869617
byzantine,0.1,fedprox,0.9007242732119506,0.0009916243916373595,0.4235896941915095,0.005787096956611336,0.2978675645342312,0.009731034546169788,0.3496732714503249,0.006579224314408262,0.8085471938538238,0.002470854132099947,0.34392804663072474,0.0051201877206155195
byzantine,0.2,fedavg,0.8985413942259329,0.0019295212927279873,0.41097474494009756,0.01225755032118286,0.3037037037037037,0.0057693886251290235,0.3492312345355885,0.006865741725993119,0.8058774361168467,0.003840500491135456,0.33914580765607083,0.007859932483320585
byzantine,0.2,fedprox,0.8984910974751031,0.002037918583648077,0.41049671291045586,0.012977639428358674,0.3029180695847362,0.006113890549928112,0.3485332825605889,0.007315089404529164,0.8050919601168218,0.0038603212571214156,0.3380897423147978,0.00778338788018339
