comparison,W,p_value,effect_size_r,n_hospitals
label_noise_sev0.1_fedavg vs baseline_fedavg,2097.0,0.10502103567459348,0.1612939524785453,101
label_noise_sev0.1_fedprox vs baseline_fedprox,2035.0,0.06709791075287198,0.18219306439844044,101
label_noise_sev0.2_fedavg vs baseline_fedavg,1450.0,0.00013740957905350134,0.3793862978361798,101
label_noise_sev0.2_fedprox vs baseline_fedprox,1386.0,5.5873304750061285e-05,0.4009595746567285,101
label_noise_sev0.3_fedavg vs baseline_fedavg,406.0,1.98982667854666e-13,0.7313024283931229,101
label_noise_sev0.3_fedprox vs baseline_fedprox,388.0,1.258665596525878e-13,0.7373644291208158,101
input_noise_sev0.01_fedavg vs baseline_fedavg,1088.0,0.10664088164917754,0.16054697790146902,101
input_noise_sev0.01_fedprox vs baseline_fedprox,1087.0,0.14744764145639172,0.14414168553328008,101
input_noise_sev0.05_fedavg vs baseline_fedavg,2039.0,0.3710233495362083,0.08901185950043351,101
input_noise_sev0.05_fedprox vs baseline_fedprox,2403.0,0.9364516153187452,0.007933479499721839,101
input_noise_sev0.1_fedavg vs baseline_fedavg,2005.0,0.1362047472955757,0.14826791687257934,101
input_noise_sev0.1_fedprox vs baseline_fedprox,2384.0,0.8830858893031359,0.014632862188375851,101
byzantine_sev0.05_fedavg vs baseline_fedavg,1744.0,0.004850171235374397,0.28028405744181945,101
byzantine_sev0.05_fedprox vs baseline_fedprox,1576.0,0.0011025108249583552,0.3246776775749372,101
byzantine_sev0.1_fedavg vs baseline_fedavg,2079.0,0.09257628219804583,0.16736143658432137,101
byzantine_sev0.1_fedprox vs baseline_fedprox,1838.0,0.01247616475496207,0.2485983071116556,101
byzantine_sev0.2_fedavg vs baseline_fedavg,1413.0,8.211990152944663e-05,0.3918583484980151,101
byzantine_sev0.2_fedprox vs baseline_fedprox,1239.0,5.966401878245177e-06,0.4505106948535609,101
fedavg vs fedprox @ label_noise_sev0.1,1648.0,0.07819303116906774,0.17525272932678768,101
fedavg vs fedprox @ input_noise_sev0.05,1680.0,0.05276117975878837,0.19272581440201914,101
fedavg vs fedprox @ input_noise_sev0.01,1454.0,0.011435482771061498,0.25165504278610656,101
fedavg vs fedprox @ byzantine_sev0.1,1236.0,0.0002746589916911609,0.3620042745296142,101
fedavg vs fedprox @ label_noise_sev0.2,1342.0,0.022862810341742614,0.2264425422956377,101
fedavg vs fedprox @ label_noise_sev0.3,1727.0,0.07895436491803819,0.17480669812725172,101
fedavg vs fedprox @ byzantine_sev0.2,1643.0,0.037650504954143994,0.20683235274598488,101
fedavg vs fedprox @ input_noise_sev0.1,1512.0,0.021474105489266197,0.2288131140199183,101
fedavg vs fedprox @ byzantine_sev0.05,1503.0,0.0089211130537543,0.2602084437772067,101
